id,description,children,parents
866,"2011 Top 25 - Porous Defenses",250|306|307|311|327|732|759|798|807|862|863|,
867,"2011 Top 25 - Weaknesses On the Cusp",129|209|212|330|362|456|476|681|754|770|772|805|822|825|838|841|,
869,"CERT C++ Secure Coding Section 01 - Preprocessor (PRE)",,
870,"CERT C++ Secure Coding Section 02 - Declarations and Initialization (DCL)",,
871,"CERT C++ Secure Coding Section 03 - Expressions (EXP)",476|480|768|,
872,"CERT C++ Secure Coding Section 04 - Integers (INT)",20|129|190|192|197|369|466|587|606|676|681|682|,
873,"CERT C++ Secure Coding Section 05 - Floating Point Arithmetic (FLP)",369|681|682|686|,
874,"CERT C++ Secure Coding Section 06 - Arrays and the STL (ARR)",119|129|467|469|665|805|,
875,"CERT C++ Secure Coding Section 07 - Characters and Strings (STR)",78|88|119|120|170|193|464|686|704|,
876,"CERT C++ Secure Coding Section 08 - Memory Management (MEM)",20|119|128|131|190|226|244|252|391|404|415|416|476|528|590|591|665|687|690|703|754|762|770|822|,
877,"CERT C++ Secure Coding Section 09 - Input Output (FIO)",22|37|38|39|41|59|62|64|65|67|73|119|134|241|276|279|362|367|379|391|403|404|552|675|676|732|770|,
878,"CERT C++ Secure Coding Section 10 - Environment (ENV)",78|88|119|426|462|705|807|,
879,"CERT C++ Secure Coding Section 11 - Signals (SIG)",479|662|,
880,"CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR)",209|390|391|460|497|544|703|705|754|755|,
881,"CERT C++ Secure Coding Section 13 - Object Oriented Programming (OOP)",485|,
882,"CERT C++ Secure Coding Section 14 - Concurrency (CON)",362|366|404|488|772|,
883,"CERT C++ Secure Coding Section 49 - Miscellaneous (MSC)",14|20|116|176|327|330|480|482|561|563|570|571|697|704|,
885,"SFP Primary Cluster: Risky Values",998|,
886,"SFP Primary Cluster: Unused entities",482|561|563|,
887,"SFP Primary Cluster: API",1001|,
889,"SFP Primary Cluster: Exception Management",960|961|962|,
890,"SFP Primary Cluster: Memory Access",970|971|972|973|974|,
891,"SFP Primary Cluster: Memory Management",969|,
892,"SFP Primary Cluster: Resource Management",982|983|984|985|,
893,"SFP Primary Cluster: Path Resolution",979|980|981|,
894,"SFP Primary Cluster: Synchronization",986|987|988|989|,
895,"SFP Primary Cluster: Information Leak",963|964|965|966|967|,
896,"SFP Primary Cluster: Tainted Input",990|991|992|993|994|,
897,"SFP Primary Cluster: Entry Points",1002|,
898,"SFP Primary Cluster: Authentication",947|948|949|950|951|952|953|954|955|,
899,"SFP Primary Cluster: Access Control",944|945|946|,
901,"SFP Primary Cluster: Privilege",9|250|266|267|268|269|270|271|272|274|520|653|,
902,"SFP Primary Cluster: Channel",956|957|,
903,"SFP Primary Cluster: Cryptography",958|959|,
904,"SFP Primary Cluster: Malware",69|506|507|508|509|510|511|512|968|,
905,"SFP Primary Cluster: Predictability",330|331|332|333|334|335|336|337|338|339|340|341|342|343|344|,
906,"SFP Primary Cluster: UI",995|996|997|,
907,"SFP Primary Cluster: Other",975|976|977|978|,
908,"Use of Uninitialized Resource",,452|664|
909,"Missing Initialization of Resource",456|,452|665|
910,"Use of Expired File Descriptor",,452|672|
911,"Improper Update of Reference Count",,452|664|
912,"Hidden Functionality",506|514|,505|710|
913,"Improper Control of Dynamically-Managed Code Resources",94|470|502|914|915|,505|664|
914,"Improper Control of Dynamically-Identified Variables",621|627|,99|913|
915,"Improperly Controlled Modification of Dynamically-Determined Object Attributes",,913|
916,"Use of Password Hash With Insufficient Computational Effort",759|760|,327|
917,"Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')",,77|
918,"Server-Side Request Forgery (SSRF)",,441|
920,"Improper Restriction of Power Consumption",,400|
921,"Storage of Sensitive Data in a Mechanism without Access Control",,922|
922,"Insecure Storage of Sensitive Information",312|921|,664|
923,"Improper Restriction of Communication Channel to Intended Endpoints",291|297|300|322|350|419|420|925|940|941|,284|
924,"Improper Enforcement of Message Integrity During Transmission in a Communication Channel",,345|
925,"Improper Verification of Intent by Broadcast Receiver",,923|
926,"Improper Export of Android Application Components",,285|
927,"Use of Implicit Intent for Sensitive Communication",,285|668|
929,"OWASP Top Ten 2013 Category A1 - Injection",77|78|88|89|90|91|,
930,"OWASP Top Ten 2013 Category A2 - Broken Authentication and Session Management",256|287|311|319|384|522|523|613|620|640|,
931,"OWASP Top Ten 2013 Category A3 - Cross-Site Scripting (XSS)",79|,
932,"OWASP Top Ten 2013 Category A4 - Insecure Direct Object References",22|99|639|,
933,"OWASP Top Ten 2013 Category A5 - Security Misconfiguration",2|16|209|215|548|,
934,"OWASP Top Ten 2013 Category A6 - Sensitive Data Exposure",310|311|312|319|320|325|326|327|328|,
935,"OWASP Top Ten 2013 Category A7 - Missing Function Level Access Control",285|287|,
936,"OWASP Top Ten 2013 Category A8 - Cross-Site Request Forgery (CSRF)",352|,
937,"OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities",,
938,"OWASP Top Ten 2013 Category A10 - Unvalidated Redirects and Forwards",601|,
939,"Improper Authorization in Handler for Custom URL Scheme",,862|
940,"Improper Verification of Source of a Communication Channel",,923|
941,"Incorrectly Specified Destination in a Communication Channel",,923|
942,"Overly Permissive Cross-domain Whitelist",,183|284|668|
943,"Improper Neutralization of Special Elements in Data Query Logic",89|90|643|652|,74|
944,"SFP Secondary Cluster: Access Management",282|283|284|286|708|,899|
945,"SFP Secondary Cluster: Insecure Resource Access",285|424|639|650|,899|
946,"SFP Secondary Cluster: Insecure Resource Permissions",276|277|278|279|281|560|732|,899|
947,"SFP Secondary Cluster: Authentication Bypass",287|288|289|303|304|305|308|309|592|603|,898|
948,"SFP Secondary Cluster: Digital Certificate",296|297|298|299|593|599|,898|
949,"SFP Secondary Cluster: Faulty Endpoint Authentication",293|302|345|346|350|360|551|565|647|,898|
950,"SFP Secondary Cluster: Hardcoded Sensitive Data",258|259|321|547|,898|
951,"SFP Secondary Cluster: Insecure Authentication Policy",262|263|521|556|613|645|,898|
952,"SFP Secondary Cluster: Missing Authentication",306|620|,898|
953,"SFP Secondary Cluster: Missing Endpoint Authentication",422|425|,898|
954,"SFP Secondary Cluster: Multiple Binds to the Same Port",605|,898|
955,"SFP Secondary Cluster: Unrestricted Authentication",307|,898|
956,"SFP Secondary Cluster: Channel Attack",290|294|300|301|419|420|421|441|,902|
957,"SFP Secondary Cluster: Protocol Error",353|435|436|437|757|,902|
958,"SFP Secondary Cluster: Broken Cryptography",325|327|328|759|760|,903|
959,"SFP Secondary Cluster: Weak Cryptography",261|322|323|324|326|329|347|640|,903|
960,"SFP Secondary Cluster: Ambiguous Exception Type",396|397|,889|
961,"SFP Secondary Cluster: Incorrect Exception Behavior",392|393|455|460|544|584|636|703|,889|
962,"SFP Secondary Cluster: Unchecked Status Condition",248|252|253|273|280|372|390|391|394|395|431|478|484|600|665|754|755|,889|
963,"SFP Secondary Cluster: Exposed Data",5|7|8|11|12|13|14|117|200|201|209|210|211|212|213|214|215|219|220|226|244|256|257|260|311|312|313|314|315|316|317|318|319|374|375|402|403|433|495|497|498|499|501|522|523|526|527|528|529|530|532|533|534|535|536|537|538|539|540|541|542|546|548|550|552|555|591|598|607|612|615|642|668|669|756|767|,895|
964,"SFP Secondary Cluster: Exposure Temporary File",377|378|379|,895|
965,"SFP Secondary Cluster: Insecure Session Management",6|488|524|,895|
966,"SFP Secondary Cluster: Other Exposures",453|485|487|492|525|614|651|,895|
967,"SFP Secondary Cluster: State Disclosure",202|203|204|205|206|207|208|,895|
968,"SFP Secondary Cluster: Covert Channel",385|514|515|,904|
969,"SFP Secondary Cluster: Faulty Memory Release",415|590|761|762|763|,891|
970,"SFP Secondary Cluster: Faulty Buffer Access",118|119|120|121|122|123|124|125|126|127|129|,890|
971,"SFP Secondary Cluster: Faulty Pointer Use",469|476|588|,890|
972,"SFP Secondary Cluster: Faulty String Expansion",785|,890|
973,"SFP Secondary Cluster: Improper NULL Termination",170|,890|
974,"SFP Secondary Cluster: Incorrect Buffer Length Computation",131|135|467|,890|
975,"SFP Secondary Cluster: Architecture",348|359|602|637|649|654|656|657|671|693|749|,907|
976,"SFP Secondary Cluster: Compiler",733|,907|
977,"SFP Secondary Cluster: Design",115|187|188|193|349|405|406|407|408|409|410|430|462|463|464|480|483|581|595|596|618|648|670|682|691|696|697|698|705|,907|
978,"SFP Secondary Cluster: Implementation",216|358|398|623|710|,907|
979,"SFP Secondary Cluster: Failed Chroot Jail",243|,893|
980,"SFP Secondary Cluster: Link in Resource Name Resolution",59|62|64|65|71|386|610|,893|
981,"SFP Secondary Cluster: Path Traversal",22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|66|67|72|73|428|706|,893|
982,"SFP Secondary Cluster: Failure to Release Resource",401|404|459|771|772|773|775|,892|
983,"SFP Secondary Cluster: Faulty Resource Use",416|672|,892|
984,"SFP Secondary Cluster: Life Cycle",664|666|675|694|,892|
985,"SFP Secondary Cluster: Unrestricted Consumption",400|674|770|774|,892|
986,"SFP Secondary Cluster: Missing Lock",364|365|366|368|413|414|543|567|609|662|663|667|,894|
987,"SFP Secondary Cluster: Multiple Locks/Unlocks",585|764|765|,894|
988,"SFP Secondary Cluster: Race Condition Window",362|363|367|370|638|,894|
989,"SFP Secondary Cluster: Unrestricted Lock",412|,894|
990,"SFP Secondary Cluster: Tainted Input to Command",74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|93|95|96|97|99|100|102|103|104|105|106|107|108|109|110|112|113|130|134|138|140|141|142|143|144|145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|183|184|185|186|444|553|554|564|601|611|619|621|624|625|626|627|641|643|644|646|652|707|,896|
991,"SFP Secondary Cluster: Tainted Input to Environment",94|114|427|470|471|472|473|494|545|622|673|,896|
992,"SFP Secondary Cluster: Faulty Input Transformation",116|166|167|168|172|173|174|175|176|177|178|179|180|181|182|,896|
993,"SFP Secondary Cluster: Incorrect Input Handling",198|228|229|230|231|232|233|234|235|236|237|238|239|240|241|351|354|,896|
994,"SFP Secondary Cluster: Tainted Input to Variable",15|20|454|496|502|566|606|616|,896|
995,"SFP Secondary Cluster: Feature",447|448|449|450|451|549|655|,906|
996,"SFP Secondary Cluster: Security",356|357|446|,906|
997,"SFP Secondary Cluster: Information Loss",221|222|223|224|,906|
998,"SFP Secondary Cluster: Glitch in Computation",128|190|191|194|195|196|197|369|456|457|466|468|475|481|486|562|570|571|579|587|594|597|628|681|683|685|686|687|688|704|768|,885|
1001,"SFP Secondary Cluster: Use of an Improper API",111|227|242|245|246|382|383|432|439|440|474|477|479|558|572|573|574|575|576|577|578|586|589|617|676|684|695|758|,887|
1002,"SFP Secondary Cluster: Unexpected Entry Points",489|491|493|500|531|568|580|582|583|608|766|,897|
